2026-08-28 20:23:03 | IP: 127.0.0.1 | Endpoint: /admin
2026-08-28 20:24:36 | IP: 127.0.0.1 | Endpoint: /admin
2026-08-28 20:40:20 | IP: 127.0.0.1 | DECOY: employee_credentials.txt
2026-08-28 21:31:05 | IP: 127.0.0.1 | Endpoint: /admin
2026-08-28 22:13:48 | IP: 127.0.0.1 | 404 PRONE: /secret-admin
2026-08-28 23:00:49 | IP: 127.0.0.1 | DECOY API: /api/v1/users
2026-08-28 23:00:49 | IP: 127.0.0.1 | 404 PRONE: /favicon.ico
2026-08-28 23:08:13 | IP: 127.0.0.1 | Endpoint: /admin
2026-08-28 23:08:22 | IP: 127.0.0.1 | DECOY API: /api/v1/users
2026-08-28 23:08:42 | IP: 127.0.0.1 | 404 PRONE: /secret-panel
2026-09-05 13:37:30 | IP: 127.0.0.1 | Endpoint: /admin
2026-09-05 13:37:30 | IP: 127.0.0.1 | DECOY API: /api/v1/users
2026-09-05 13:37:30 | IP: 127.0.0.1 | DECOY: employee_credentials.txt
